estuary,date,disturbance,site,id,EC_mScm-1,EC_depth_cm
nre,10/6/2021,excl1 ,20_05_A,,6.31,40
nre,10/6/2021,excl1 ,20_05_B,,8.01,10
nre,10/6/2021,excl1 ,20_05_B,,10.80,20
nre,10/6/2021,excl1 ,20_05_B,,9.50,40
nre,10/6/2021,grubbed,GRB_01_A,,9.36,10
nre,10/6/2021,grubbed,GRB_01_A,,11.35,20
nre,10/6/2021,grubbed,GRB_01_A,,12.55,40
nre,10/6/2021,grubbed,GRB_01_B,,12.92,10
nre,10/6/2021,grubbed,GRB_01_B,,14.17,20
nre,10/6/2021,grubbed,GRB_01_B,,11.67,40
nre,10/6/2021,grubbed,GRB_02_A,,9.16,10
nre,10/6/2021,grubbed,GRB_02_A,,12.05,20
nre,10/6/2021,grubbed,GRB_02_A,,6.30,30
nre,10/6/2021,grubbed,GRB_02_B,,7.69,10
nre,10/6/2021,grubbed,GRB_02_B,,7.18,20
nre,10/6/2021,grubbed,GRB_02_B,,7.84,40
nre,10/6/2021,grubbed,GRB_03_A,,10.81,10
nre,10/6/2021,grubbed,GRB_03_A,,9.99,20
nre,10/6/2021,grubbed,GRB_03_A,,7.28,40
nre,10/6/2021,grubbed,GRB_03_B,,4.72,10
nre,10/6/2021,grubbed,GRB_03_B,,6.27,20
nre,10/6/2021,grubbed,GRB_03_B,,6.31,40
nre,10/6/2021,grubbed,GRB_04_A,,6.62,10
nre,10/6/2021,grubbed,GRB_04_A,,9.83,20
nre,10/6/2021,grubbed,GRB_04_A,,10.89,40
nre,10/6/2021,grubbed,GRB_04_B,,7.57,10
nre,10/6/2021,grubbed,GRB_04_B,,11.53,20
nre,10/6/2021,grubbed,GRB_04_B,,7.04,40
nre,10/6/2021,reference,REF_01_A,,5.70,10
nre,10/6/2021,reference,REF_01_A,,6.09,20
nre,10/6/2021,reference,REF_01_A,,7.53,40
nre,10/6/2021,reference,REF_01_B,,5.57,10
nre,10/6/2021,reference,REF_01_B,,8.62,20
nre,10/6/2021,reference,REF_01_B,,9.88,40
nre,10/6/2021,reference,REF_02_A,,5.89,10
nre,10/6/2021,reference,REF_02_A,,11.45,20
nre,10/6/2021,reference,REF_02_A,,9.44,40
nre,10/6/2021,reference,REF_02_B,,2.33,10
nre,10/6/2021,reference,REF_02_B,,4.00,20
nre,10/6/2021,reference,REF_02_B,,12.12,40
nre,10/6/2021,reference,REF_03_A,,6.29,10
nre,10/6/2021,reference,REF_03_A,,7.45,20
nre,10/6/2021,reference,REF_03_A,,8.27,40
nre,10/6/2021,reference,REF_03_B,,6.04,10
nre,10/6/2021,reference,REF_03_B,,7.50,20
nre,10/6/2021,reference,REF_03_B,,6.82,40
nre,10/6/2021,reference,REF_04_A,,5.21,10
nre,10/6/2021,reference,REF_04_A,,8.20,20
nre,10/6/2021,reference,REF_04_A,,7.57,40
nre,10/6/2021,reference,REF_04_B,,4.92,10
nre,10/6/2021,reference,REF_04_B,,8.08,20
nre,10/6/2021,reference,REF_04_B,,6.47,40
