estuary,disturbance,site,id,sal,agre,agsp,atpa,caly,coco,daca,dece,disp,glma,elpar,juba,pofo,popa,sade,spca,sysu,trwo,trma,bare
nre,excl1,20_06_B,48,NA,0,0,0,20,0,0,0,0,1,25,0,0,0,0,12.5,0,0,0,41.5
nre,grubbed,GRB_01_A,49,11.09,0,0,0,0,0,0,0,0.1,18.75,60,0,0,0,0,2,0,0,0,19.15
nre,grubbed,GRB_01_B,50,12.92,0,0,0,0,0,0,0,0,9.38,25,0,0,0,0,1,0,0,0,64.63
nre,grubbed,GRB_02_A,51,9.17,0,0,0,0,0,0,0,2,25,9.38,0,0,6.25,0,1,0,0,0,56.38
nre,grubbed,GRB_02_B,52,7.57,0,0,0,0,0.1,0,0.1,0,25,10,0,0,3.13,0,3.13,0,0,0,58.55
nre,grubbed,GRB_03_A,53,9.36,0,0,0,0,0,0,0,0,12.5,25,0,0,0,0.1,2,0,0,0,60.4
nre,grubbed,GRB_03_B,54,5.77,0,0,0,0,0.1,0,0,0,9.38,20,0,0,0,0,1,0,0,0,69.53
nre,grubbed,GRB_04_A,55,9.11,0,0,0,0,0.1,0,0,0,9.38,20,0,0,0,0.1,6.25,0,0,0,64.18
nre,grubbed,GRB_04_B,56,8.71,0,0,0,0.1,1,0,1,0,35,12.5,0,0,0,0,3.13,0,0,1,46.28
nre,reference,REF_01_A,57,6.44,0,0,0,65,0,0,0,0,0,2,0,0,0,0,1,0,0,0,32
nre,reference,REF_01_B,58,8.02,0,0,0,90,0,0,6.25,0,0.1,2,0,0,0,0,0,0,0,0,1.65
nre,reference,REF_02_A,59,8.93,0,16.67,0,6.25,0,0,6.25,16.67,1,0,0,0,12.5,0,0,0,1,6.25,33.42
nre,reference,REF_02_B,60,6.15,0,29.57,0,0.1,0,0,0.9,0,5.6,0,5.6,0,11.2,0,0,35.84,0,11.2,0
nre,reference,REF_03_A,61,7.34,0,1,0,6.25,0,0,0,0,1,0,50,0,18.75,0,0,0,0,0,23
nre,reference,REF_03_B,62,6.79,0,3,0,3,0,0,24.04,0,19.23,0,31.73,0,12.02,1,0,0,0,6.01,0
nre,reference,REF_04_A,63,6.99,0,0,0,57.64,0,0,0,0,0.77,0,38.42,0,0.77,0,0,0,0,2.4,0
nre,reference,REF_04_B,64,6.49,0,0,0,60,0,0,0,0,1,0,30,0,6.25,0,0,0,0,0,2.75
